num,value
t1,"WASD로 이동합니다.|좌클릭으로 작은 쓰레기를 가방에 넣고, 큰 쓰레기를 한개 들 수 있습니다.|E 버튼으로 으로 상점, 정산,상호작용 할 수 있습니다.|쓰레기를 모아 주워 shop 에서 정산, CP가 줄어들면 샤워로 회복하세요.|효율적으로 능력을 업그레이드해서 쓰레기를 치웁시다."
i1,"나는 쓰레기를 줍는 사람, 누군가는 나를 가비지 컬렉터(Garbage Collector)라 부른다.|사람들은 매일같이 무언가를 버리고, 이 동네는 이미 악취로 가득 찬 지 오래다.|하지만 정말 곤란한 건 길바닥의 오물들이 아니다.|내가 진짜로 치워야 할 것은..."
e1,"마침내 이 동네를 뒤덮었던 악취의 근원, 시장을 제거했다.|가장 거대한 오물을 치웠으니, |이제 이 동네도 조금은 살 맛 나는 곳으로 변하지 않았을까.|나의 수거 작업은 여기서 끝이다.||Thank you for Playing Team 찐서유기(최종)"
g1,E  샤워하기
g2,E  정산통 열기
g3,E  상점 열기
s1,근력 강화
s2,줍기 속도 강화
s3,가방 강화
s4,줍기 갯수 강화
s5,CP 강화
s6,문제의 원인 제거
