num,name,explaination,size,region,weight,requireSrt,Hpdecrease
small_1,plastic bottle,"Don't drink it, there are cigarette butts inside.",S,backyard,100,1,3
small_2,pizza box,There's a piece of pizza stuck to it,S,backyard,200,1,7
small_3,milk carton,It seems like it's been a while since it expired.,S,backyard,100,1,5
small_4,glass bottle,Someone's happy party turned into a janitor's miserable morning.,S,backstreet,5000,2,10
small_5,plastic cup,The ice has all melted and turned into lukewarm water.,S,backstreet,200,1,2
small_6,kitchen knife,It is not known whether it was used for cooking or for other purposes.,S,backstreet,100,1,8
small_7,old clothes,"It may have been a symbol of a shining moment for some, but now it's just trash.",S,street,500,1,5
small_8,ceramic,"Be careful, it's fragile.",S,street,15000,3,5
small_9,shopping bag,"Inside, it's filled with nothing but household waste. It seems to show the city's vanity.",S,street,1000,2,3
large_1,garbage,It's moist and heavy.,L,backyard,2000,2,3
large_2,old computer,"Inside, there might be someone's dark history novel or a past they want to forget.",L,backstreet,3000,2,5
large_3,AC,Now it's just a huge lump of scrap metal. The outdoor fan rattles.,L,street,30000,5,10
"#If you want to add, don't touch the indexes",,,,,,,
